Id,Caseta,Clase,Camion_Tipo,Importe,Tarifa_Esperada,Diferencia
4579,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
4586,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
4588,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
4594,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4596,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4600,CHAPALA,4,Camion_T4,123.0,141.0,-18.0
4603,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4604,DOVALI,9,Camion_T9,70.0,108.0,-38.0
4610,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4635,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4641,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4669,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4686,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4705,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4715,ZINAPECUARO,9,Camion_T9,55.0,567.0,-512.0
4715,ZINAPECUARO,9,Camion_T9,55.0,285.0,-230.0
4715,ZINAPECUARO,9,Camion_T9,55.0,282.0,-227.0
4715,ZINAPECUARO,9,Camion_T9,55.0,166.0,-111.0
4762,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4764,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4776,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
4776,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
4799,CHAPALA,4,Camion_T4,123.0,141.0,-18.0
4801,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
4810,CONTEPEC,2,Camion_T2,275.0,141.0,134.0
4815,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4845,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
4858,ZACATECAS,9,Camion_T9,89.0,115.0,-26.0
4861,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
4861,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
4892,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
4935,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4981,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
5024,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
5053,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
5054,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
5055,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
5062,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
5070,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
5147,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
5151,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
5153,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
5169,GUADALUPE,5,Camion_T5,235.0,310.0,-75.0
5172,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
5173,LEON,5,Camion_T5,85.0,411.0,-326.0
5173,LEON,5,Camion_T5,85.0,157.0,-72.0
5173,LEON,5,Camion_T5,85.0,131.0,-46.0
5173,LEON,5,Camion_T5,85.0,107.0,-22.0
5173,LEON,5,Camion_T5,85.0,105.0,-20.0
5183,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
5203,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
5215,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
5233,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
5242,PERIFERICO,6,Camion_T6,322.0,532.0,-210.0
5245,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
5260,SANTA CECILIA,4,Camion_T4,10.0,356.0,-346.0
5260,SANTA CECILIA,4,Camion_T4,10.0,267.0,-257.0
