Id,Caseta,Clase,Camion_Tipo,Importe
5866,SANCTORUM,5,Camion_T5,334.0
5868,AMOZOC-PEROTE,1,Camion_T1,241.0
5871,LIB. MATEHUALA,5,Camion_T5,132.0
5872,ECATEPEC VIAPASS,1,Camion_T1,415.0
5879,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5881,SAN MARTIN TEXMELUCAN,5,Camion_T5,64.0
5883,SN M TEXMELUCAN VIAPASS,1,Camion_T1,335.0
5884,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5886,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5888,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5889,AMOZOC-PEROTE,1,Camion_T1,241.0
5891,TULANCINGO,4,Camion_T4,212.0
5894,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5901,ATLACOMULCO-BANOBRAS,9,Camion_T9,217.0
5902,AMOZOC-PEROTE,1,Camion_T1,241.0
5903,AMOZOC-PEROTE,1,Camion_T1,542.0
5909,VENTURA - EL PEYOTE,5,Camion_T5,312.0
5912,CTO. EXT. MEXIQUENSE,1,Camion_T1,56.0
5913,ATLACOMULCO-LIB QRO,5,Camion_T5,636.0
5914,ECATEPEC VIAPASS,1,Camion_T1,514.0
5915,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
5917,AMOZOC-PEROTE,1,Camion_T1,179.0
5920,CTO. EXT. MEXIQUENSE,1,Camion_T1,160.0
5922,LIB. SUR DE GUAD.,9,Camion_T9,190.0
5923,CTO. EXT. MEXIQUENSE,1,Camion_T1,162.0
5924,AMOZOC-PEROTE,1,Camion_T1,382.0
5925,LIB. SUR DE GUAD.,4,Camion_T4,113.0
5933,AMOZOC-PEROTE,1,Camion_T1,542.0
5934,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5937,CTO. EXT. MEXIQUENSE,1,Camion_T1,113.0
5938,APODACA,5,Camion_T5,191.0
5940,LIB. MATEHUALA,5,Camion_T5,132.0
5942,AMOZOC-PEROTE,1,Camion_T1,241.0
5943,AMOZOC-PEROTE,1,Camion_T1,179.0
5946,CTO. EXT. MEXIQUENSE,1,Camion_T1,80.0
5953,LIB. SUR DE GUAD.,6,Camion_T6,175.0
5955,AMOZOC-PEROTE,1,Camion_T1,542.0
5957,ARMERIA VIAPASS,1,Camion_T1,1047.0
5959,LINCOLN,5,Camion_T5,516.0
5961,AMOZOC-PEROTE,1,Camion_T1,136.0
5962,CTO. EXT. MEXIQUENSE,1,Camion_T1,35.0
5965,LIB. MATEHUALA,5,Camion_T5,132.0
5966,PLAN DE RIO,1,Camion_T1,221.0
5968,PLAN DE RIO,1,Camion_T1,258.0
5976,AMOZOC-PEROTE,1,Camion_T1,542.0
5982,PLAN DE RIO,1,Camion_T1,258.0
5983,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5985,AMOZOC-PEROTE,1,Camion_T1,382.0
5988,TEJOCOTAL EASYTRIP,1,Camion_T1,193.0
5989,AMOZOC-PEROTE,1,Camion_T1,382.0
5990,VENTURA - EL PEYOTE,9,Camion_T9,485.0
5991,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5994,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5996,LIB. SUR DE GUAD.,4,Camion_T4,113.0
5997,CTO. EXT. MEXIQUENSE,1,Camion_T1,35.0
5999,PLAN DE RIO,1,Camion_T1,258.0
6000,ARMERIA VIAPASS,1,Camion_T1,1047.0
6001,LIB. MATEHUALA,5,Camion_T5,132.0
6010,CTO. EXT. MEXIQUENSE,1,Camion_T1,80.0
6012,LIB. SUR DE GUAD.,9,Camion_T9,190.0
6015,AMOZOC-PEROTE,1,Camion_T1,241.0
6016,AMOZOC-PEROTE,1,Camion_T1,241.0
6018,LA ANTIGUA,1,Camion_T1,431.0
6020,ARMERIA VIAPASS,1,Camion_T1,662.0
6023,CTO. EXT. MEXIQUENSE,1,Camion_T1,113.0
6024,AMOZOC-PEROTE,1,Camion_T1,542.0
6025,CERRITOS OPASA,9,Camion_T9,242.0
6029,PLAN DE RIO,1,Camion_T1,221.0
6030,LIB. SUR DE GUAD.,5,Camion_T5,175.0
6032,CTO. EXT. MEXIQUENSE,1,Camion_T1,162.0
6036,AMOZOC-PEROTE,1,Camion_T1,293.0
6037,LIB. MATEHUALA,5,Camion_T5,132.0
6040,LA ANTIGUA,1,Camion_T1,431.0
6042,AMOZOC-PEROTE,1,Camion_T1,241.0
6046,LA HINCADA,9,Camion_T9,452.0
6047,QUERETARO,4,Camion_T4,387.0
6048,VENTURA - EL PEYOTE,5,Camion_T5,312.0
6051,AMOZOC-PEROTE,1,Camion_T1,141.0
6052,APODACA,5,Camion_T5,191.0
6053,APASEO EL GRANDE,5,Camion_T5,636.0
6056,CALDERON,9,Camion_T9,382.0
6060,PLAN DE RIO,1,Camion_T1,258.0
6072,EL PIÑAL,1,Camion_T1,572.0
6073,LIB. MATEHUALA,5,Camion_T5,132.0
6074,PLAN DE RIO,1,Camion_T1,258.0
6075,PLAN DE RIO,1,Camion_T1,104.0
6077,LIB. MATEHUALA,5,Camion_T5,132.0
6082,LINCOLN,5,Camion_T5,516.0
6083,AMOZOC-PEROTE,1,Camion_T1,241.0
6093,AMOZOC-PEROTE,1,Camion_T1,542.0
6094,AMOZOC-PEROTE,1,Camion_T1,542.0
6095,LIB. MATEHUALA,5,Camion_T5,132.0
6098,CTO. EXT. MEXIQUENSE,1,Camion_T1,65.0
6104,LIB. MATEHUALA,5,Camion_T5,132.0
6107,MIAHUAPAN,1,Camion_T1,572.0
6108,LA ANTIGUA,1,Camion_T1,300.0
6109,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
6112,LA ANTIGUA,1,Camion_T1,431.0
6113,ARRIAGA VIAP,1,Camion_T1,165.0
6114,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
6121,CTO. EXT. MEXIQUENSE,1,Camion_T1,311.0
6123,AMOZOC-PEROTE,1,Camion_T1,542.0
6127,LEON GUZMAN,5,Camion_T5,801.0
6128,LIB. SUR DE GUAD.,9,Camion_T9,190.0
6129,TUXPAN EASYTRIP,1,Camion_T1,249.0
6131,AMOZOC-PEROTE,1,Camion_T1,542.0
6133,PLAN DE RIO,1,Camion_T1,258.0
6134,PLAN DE RIO,1,Camion_T1,258.0
6135,AMOZOC-PEROTE,1,Camion_T1,305.0
6136,AMOZOC-PEROTE,1,Camion_T1,241.0
6137,APASEO EL GRANDE,5,Camion_T5,636.0
6138,SAN JULIÁN,1,Camion_T1,119.0
6141,ENCARNACION DE DIAZ,5,Camion_T5,417.0
6142,ENCARNACION DE DIAZ,5,Camion_T5,417.0
6143,QUERETARO ARCO NORTE,5,Camion_T5,217.0
6146,PALMILLAS,1,Camion_T1,108.0
