Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
PUENTE NACIONAL TECOLUTLA,TECOLUTLA,45.00,45.00,96.00,96.00,146.00,146.00,146.00,146.00
LIBRAMIENTO PONIENTE DE TAMPICO,LIB. PNTE. TAMPICO,64.00,64.00,64.00,116.00,116.00,141.00,141.00,141.00
LIBRAMIENTO PONIENTE DE TAMPICO,LIB. PNTE. TAMPICO,36.00,36.00,36.00,58.00,58.00,68.00,68.00,68.00
LIBRAMIENTO PONIENTE DE TAMPICO,LIB. PNTE. TAMPICO,39.00,39.00,39.00,58.00,58.00,70.00,70.00,70.00
PUENTE NACIONAL PANUCO,TAMPICO,82.00,82.00,151.00,151.00,210.00,210.00,210.00,210.00
PUENTE NACIONAL TAMPICO,PANUCO,44.00,44.00,89.00,89.00,122.00,122.00,122.00,122.00
MEXICO-QUERETARO,TEPOTZOTLAN,234.00,471.00,471.00,678.00,678.00,678.00,678.00,54.00
MEXICO-QUERETARO,JOROBAS,128.00,254.00,254.00,364.00,364.00,364.00,364.00,36.00
MEXICO-QUERETARO,PALMILLAS,219.00,440.00,440.00,641.00,641.00,641.00,641.00,54.00
MEXICO-QUERETARO,PALMILLAS BIS,219.00,440.00,440.00,641.00,641.00,641.00,641.00,54.00
MEXICO-QUERETARO,POLOTITLAN,192.00,379.00,379.00,532.00,532.00,532.00,532.00,49.00
QUERETARO-IRAPUATO,QUERÉTARO,197.00,197.00,387.00,387.00,544.00,544.00,544.00,544.00
QUERETARO-IRAPUATO,LIB. SUR PTE. QRO.,178.00,178.00,345.00,345.00,486.00,486.00,486.00,486.00
QUERETARO-IRAPUATO,LIB. SUR PTE. QRO.,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00
LIBRAMIENTO DE CELAYA,CRESPO,62.00,62.00,62.00,99.00,99.00,149.00,149.00,149.00
LIBRAMIENTO DE CELAYA,LAJA,49.00,49.00,49.00,78.00,78.00,119.00,119.00,119.00
LIBRAMIENTO DE CELAYA,SAN MIGUEL,67.00,67.00,67.00,112.00,112.00,159.00,159.00,159.00
